,날짜,배추가격평균
1,2015-01-02,"4,000"
2,2015-01-05,"4,000"
3,2015-01-06,"4,000"
4,2015-01-07,"4,000"
5,2015-01-08,"4,000"
6,2015-01-09,"4,000"
7,2015-01-12,"4,000"
8,2015-01-13,"4,000"
9,2015-01-14,"4,000"
10,2015-01-15,"4,000"
11,2015-01-16,"4,000"
12,2015-01-19,"4,000"
13,2015-01-20,"4,000"
14,2015-01-21,"4,000"
15,2015-01-22,"4,000"
16,2015-01-23,"4,000"
17,2015-01-26,"4,000"
18,2015-01-27,"4,000"
19,2015-01-28,"4,000"
20,2015-01-29,"4,000"
21,2015-01-30,"4,000"
22,2015-02-02,"4,000"
23,2015-02-03,"4,000"
24,2015-02-04,"4,000"
25,2015-02-05,"4,000"
26,2015-02-06,"4,000"
27,2015-02-09,"4,000"
28,2015-02-10,"4,000"
29,2015-02-11,"4,000"
30,2015-02-12,"4,500"
31,2015-02-13,"4,500"
32,2015-02-16,"4,500"
33,2015-02-17,"4,500"
34,2015-02-23,"4,000"
35,2015-02-24,"4,000"
36,2015-02-25,"4,000"
37,2015-02-26,"4,000"
38,2015-02-27,"4,000"
39,2015-03-02,"4,000"
40,2015-03-03,"4,000"
41,2015-03-04,"4,000"
42,2015-03-05,"4,000"
43,2015-03-06,"4,000"
44,2015-03-09,"4,000"
45,2015-03-10,"4,000"
46,2015-03-11,"4,000"
47,2015-03-12,"4,500"
48,2015-03-13,"4,500"
49,2015-03-16,"4,500"
50,2015-03-17,"4,500"
51,2015-03-18,"4,500"
52,2015-03-19,"4,500"
53,2015-03-20,"4,500"
54,2015-03-23,"5,000"
55,2015-03-24,"5,000"
56,2015-03-25,"5,000"
57,2015-03-26,"5,000"
58,2015-03-27,"5,000"
59,2015-03-30,"5,000"
60,2015-03-31,"5,000"
61,2015-04-01,"5,000"
62,2015-04-02,"5,000"
63,2015-04-03,"5,000"
64,2015-04-06,"5,000"
65,2015-04-07,"5,000"
66,2015-04-08,"5,000"
67,2015-04-09,"5,000"
68,2015-04-10,"5,000"
69,2015-04-13,"5,000"
70,2015-04-14,"5,000"
71,2015-04-15,"5,000"
72,2015-04-16,"5,000"
73,2015-04-17,"5,000"
74,2015-04-20,"5,000"
75,2015-04-21,"5,500"
76,2015-04-22,"5,500"
77,2015-04-23,"5,500"
78,2015-04-24,"5,500"
79,2015-04-27,"5,500"
80,2015-04-28,"5,500"
81,2015-04-29,"5,500"
82,2015-04-30,"5,500"
83,2015-05-04,"5,500"
84,2015-05-06,"7,000"
85,2015-05-07,"7,000"
86,2015-05-08,"7,000"
87,2015-05-11,"7,000"
88,2015-05-12,"7,000"
89,2015-05-13,"7,000"
90,2015-05-14,"7,000"
91,2015-05-15,"7,000"
92,2015-05-18,"10,500"
93,2015-05-19,"11,000"
94,2015-05-20,"11,000"
95,2015-05-21,"10,500"
96,2015-05-22,"10,500"
97,2015-05-26,"10,500"
98,2015-05-27,"10,500"
99,2015-05-28,"10,500"
100,2015-05-29,"10,500"
101,2015-06-01,"10,000"
102,2015-06-02,"10,000"
103,2015-06-03,"9,000"
104,2015-06-04,"8,000"
105,2015-06-05,"8,000"
106,2015-06-08,"8,000"
107,2015-06-09,"8,000"
108,2015-06-10,"8,000"
109,2015-06-11,"8,000"
110,2015-06-12,"8,000"
111,2015-06-15,"8,000"
112,2015-06-16,"8,000"
113,2015-06-17,"8,000"
114,2015-06-18,"7,000"
115,2015-06-19,"7,000"
116,2015-06-22,"7,000"
117,2015-06-23,"7,000"
118,2015-06-24,"7,000"
119,2015-06-25,"7,000"
120,2015-06-26,"7,000"
121,2015-06-29,"7,000"
122,2015-06-30,"7,000"
123,2015-07-01,"7,000"
124,2015-07-02,"7,000"
125,2015-07-03,"7,000"
126,2015-07-06,"7,000"
127,2015-07-07,"7,000"
128,2015-07-08,"7,000"
129,2015-07-09,"7,000"
130,2015-07-10,"7,000"
131,2015-07-13,"7,000"
132,2015-07-14,"7,000"
133,2015-07-15,"7,000"
134,2015-07-16,"6,500"
135,2015-07-17,"6,500"
136,2015-07-20,"6,500"
137,2015-07-21,"6,500"
138,2015-07-22,"6,500"
139,2015-07-23,"6,500"
140,2015-07-24,"6,000"
141,2015-07-27,"6,000"
142,2015-07-28,"5,500"
143,2015-07-29,"5,500"
144,2015-07-30,"5,500"
145,2015-07-31,"5,500"
146,2015-08-03,"5,500"
147,2015-08-04,"5,500"
148,2015-08-05,"5,500"
149,2015-08-06,"6,000"
150,2015-08-07,"6,250"
151,2015-08-10,"6,500"
152,2015-08-11,"6,500"
153,2015-08-12,"6,500"
154,2015-08-13,"6,500"
155,2015-08-17,"7,000"
156,2015-08-18,"7,000"
157,2015-08-19,"7,000"
158,2015-08-20,"7,000"
159,2015-08-21,"7,000"
160,2015-08-24,"7,000"
161,2015-08-25,"7,000"
162,2015-08-26,"7,000"
163,2015-08-27,"7,000"
164,2015-08-28,"7,000"
165,2015-08-31,"7,000"
166,2015-09-01,"7,000"
167,2015-09-02,"7,000"
168,2015-09-03,"6,000"
169,2015-09-04,"6,000"
170,2015-09-07,"6,500"
171,2015-09-08,"6,500"
172,2015-09-09,"6,500"
173,2015-09-10,"6,500"
174,2015-09-11,"6,000"
175,2015-09-14,"6,000"
176,2015-09-15,"6,000"
177,2015-09-16,"6,000"
178,2015-09-17,"6,000"
179,2015-09-18,"6,000"
180,2015-09-21,"6,000"
181,2015-09-22,"6,500"
182,2015-09-23,"7,000"
183,2015-09-24,"7,000"
184,2015-09-25,"7,000"
185,2015-09-30,"7,000"
186,2015-10-01,"7,000"
187,2015-10-02,"7,000"
188,2015-10-05,"6,000"
189,2015-10-06,"6,000"
190,2015-10-07,"5,000"
191,2015-10-08,"5,000"
192,2015-10-12,"5,000"
193,2015-10-13,"5,000"
194,2015-10-14,"4,500"
195,2015-10-15,"4,000"
196,2015-10-16,"4,000"
197,2015-10-19,"4,000"
198,2015-10-20,"4,000"
199,2015-10-21,"4,000"
200,2015-10-22,"4,000"
201,2015-10-23,"4,000"
202,2015-10-26,"4,000"
203,2015-10-27,"4,000"
204,2015-10-28,"4,000"
205,2015-10-29,"4,000"
206,2015-10-30,"4,000"
207,2015-11-02,"4,000"
208,2015-11-03,"4,000"
209,2015-11-04,"4,000"
210,2015-11-05,"4,000"
211,2015-11-06,"4,000"
212,2015-11-09,"4,000"
213,2015-11-10,"4,250"
214,2015-11-11,"4,500"
215,2015-11-12,"4,500"
216,2015-11-13,"5,000"
217,2015-11-16,"4,000"
218,2015-11-17,"4,000"
219,2015-11-18,"4,000"
220,2015-11-19,"4,000"
221,2015-11-20,"5,000"
222,2015-11-23,"5,000"
223,2015-11-24,"5,000"
224,2015-11-25,"5,000"
225,2015-11-26,"5,000"
226,2015-11-27,"5,000"
227,2015-11-30,"5,000"
228,2015-12-01,"5,000"
229,2015-12-02,"5,000"
230,2015-12-03,"5,000"
231,2015-12-07,"4,500"
232,2015-12-08,"4,500"
233,2015-12-09,"4,500"
234,2015-12-10,"4,500"
235,2015-12-11,"4,000"
236,2015-12-14,"4,000"
237,2015-12-15,"4,000"
238,2015-12-16,"4,000"
239,2015-12-17,"4,000"
240,2015-12-18,"4,000"
241,2015-12-21,"4,000"
242,2015-12-22,"4,000"
243,2015-12-23,"4,000"
244,2015-12-24,"4,000"
245,2015-12-28,"4,500"
246,2015-12-29,"4,500"
247,2015-12-30,"4,500"
248,2015-12-31,"4,500"
1,2016-01-02,"4,750"
2,2016-01-03,"4,750"
3,2016-01-04,"4,750"
4,2016-01-07,"4,750"
